max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
29,477.149571072077435,inf,181.690078735351562,29,2,43
37,480.142280118501674,inf,327.728515625000000,37,12,34
22,415.853114233804718,inf,155.925613403320312,22,0,52
5,479.547326787416239,inf,0.841015994548798,5,30,55
32,32.753244435547742,inf,30.954446792602539,12,5,20
29,248.849150821422711,inf,207.962432861328125,29,27,58
51,241.095494624249397,inf,237.556869506835938,32,11,31
33,51.889166721663727,inf,44.086715698242188,15,22,53
38,311.472120240815684,inf,302.391662597656250,34,4,40
30,263.423053008191573,inf,192.804031372070312,30,4,8
