max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
78,230.201997916306084,inf,228.377944946289062,43,16,43
18,196.182887469172812,inf,45.112598419189453,18,23,77
65,297.826579706275595,inf,294.072296142578125,47,26,41
33,423.406657740745516,inf,172.285186767578125,33,57,78
79,111.371676498781895,inf,110.802627563476562,26,45,83
61,184.556170582879503,inf,182.469696044921875,39,23,42
83,359.383852189579954,inf,358.270324707031250,58,49,74
40,206.658671618690875,inf,194.750976562500000,40,40,64
29,494.566665923167136,inf,88.955825805664062,29,12,69
30,69.328541038767838,inf,65.239440917968750,20,10,62
