max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
16,310.684098549380792,inf,127.602218627929688,16,20,26
13,12.971280454697107,inf,8.954024314880371,6,19,20
30,11.762380806452850,inf,11.094276428222656,6,24,26
20,20.138529843735000,inf,9.916354179382324,6,3,24
22,324.546125821395890,inf,245.758728027343750,22,13,19
14,34.170649361871959,inf,25.313837051391602,8,0,3
7,462.957634247707233,inf,18.062017440795898,7,27,29
15,260.891785181337013,inf,197.551788330078125,15,1,5
28,495.709830539103109,inf,470.952026367187500,24,8,23
19,182.522221490340058,inf,173.522949218750000,17,5,21
