max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
45,398.512541931976784,inf,392.661071777343750,39,15,27
32,320.613744952746117,inf,316.887725830078125,32,3,27
40,8.810364414072323,inf,7.617256641387939,8,28,36
43,399.253400754459733,inf,379.524658203125000,37,17,20
47,460.561691071396979,inf,454.704376220703125,39,31,36
48,477.087163715569886,inf,459.027496337890625,38,3,17
45,306.496842743301841,inf,304.292327880859375,35,11,28
29,352.973530287169467,inf,242.277297973632812,29,27,48
23,125.763856391975295,inf,120.044815063476562,19,8,18
6,128.584940823365741,inf,4.894798278808594,6,2,22
