max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
9,299.998713402711758,inf,195.979583740234375,9,4,8
9,228.041113161315707,inf,194.409408569335938,9,0,7
4,281.428348146332382,inf,2.881067752838135,4,0,3
4,120.508220328021963,inf,0.289048343896866,4,4,8
9,128.426593246939433,inf,100.142822265625000,7,1,8
4,254.891974369991857,inf,7.474901199340820,4,0,8
5,279.357086409798796,inf,7.338278770446777,5,4,8
3,320.258589277611236,inf,0.845074295997620,3,3,9
9,438.256598496536412,inf,294.268066406250000,8,2,6
4,29.422044954113939,inf,18.531335830688477,4,4,8
