max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
22,487.621358952339733,inf,43.344287872314453,22,20,95
62,210.867448837432050,inf,205.914657592773438,44,4,43
9,171.407883930008012,inf,5.868068695068359,9,37,53
70,381.809404465040359,inf,372.667968750000000,65,31,39
12,342.437969210277572,inf,15.052451133728027,12,50,78
87,9.295125903660082,inf,9.248983383178711,10,16,62
58,141.914843054001210,inf,139.870697021484375,36,37,87
72,401.973037049899290,inf,397.497741699218750,63,48,80
58,194.572567804796705,inf,193.144668579101562,44,25,74
24,463.307367488712885,inf,84.287818908691406,24,21,32
