max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
28,10.983232590855067,inf,10.978485107421875,9,35,57
38,368.785989664703948,inf,278.863311767578125,38,8,35
34,202.464656456838384,inf,186.620513916015625,34,31,58
55,457.626561619764914,inf,446.534667968750000,54,17,51
16,449.460649033212405,inf,65.556335449218750,16,63,64
49,28.070837200377191,inf,25.738412857055664,13,16,34
23,201.349345394996448,inf,114.951019287109375,23,32,37
24,272.585106042996699,inf,125.064201354980469,24,18,40
56,236.302239158447776,inf,229.496429443359375,32,59,68
53,265.217511413409454,inf,263.394958496093750,39,31,32
