max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
11,281.263012921177733,inf,36.259159088134766,11,10,27
32,118.958374028612837,inf,106.471366882324219,15,9,21
35,137.000077506287425,inf,119.324028015136719,16,7,27
12,169.551684112195204,inf,43.606601715087891,12,26,32
24,374.082764250006505,inf,244.238601684570312,24,15,27
36,400.322152945746211,inf,396.543853759765625,30,8,22
22,56.928711428663981,inf,56.226783752441406,14,18,33
36,408.610289835659842,inf,395.022338867187500,31,9,11
20,155.208132726938487,inf,147.162170410156250,20,21,28
16,365.694230573016284,inf,98.135627746582031,16,18,27
