max_count,max_area,max_diameter,area,count,diameter_point_index_1,diameter_point_index_2
9,388.823557622692249,inf,79.810424804687500,9,1,12
10,94.378921501220148,inf,87.187957763671875,9,11,15
11,374.571326411119912,inf,96.451187133789062,11,6,16
4,360.776466197283014,inf,0.931480288505554,4,0,13
10,440.572308642131020,inf,90.240615844726562,10,5,8
17,228.861834612403072,inf,222.997299194335938,13,5,14
6,312.790232577386462,inf,26.829627990722656,6,0,6
7,123.120861129329228,inf,16.394269943237305,7,0,5
18,128.697213613116844,inf,101.255569458007812,10,2,12
3,171.880678148282755,inf,0.063848719000816,3,3,14
